Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8128952645380225,0.5517415446744068,0.7708039492242595,0.6431303324507208,0.8686920526804573
Random Forest,0.9119234922103964,0.819622641509434,0.765867418899859,0.7918337586584032,0.9246174902571229
